SID,label,sentence
1,-2.8,good grief no ! !
2,-0.8,I think we are n't being judgemental but defensive .
3,-0.2,* * Creating the Bulk folder 1 .
4,-1.8,You mean play ps2 on a gba ?
5,-2.8,Eddie and i get married 2 .
6,-0.8,"of , pertaining to , or characteristic of islanders ."
7,1.4,You will need to set a meeting and need a quorum of members .
8,0.4,These parents should try to protect others as well as their own .
9,-2.2,"use a clothes iron , it sounds stupid but it works ! ! !"
10,-1.8,Kyle Raymond is really cute !
11,0.2,Cats usually just need time to adjust to each other .
12,-0.25,"I agree , shapely legs are a lot nicer than chicken legs ."
13,-2.0,There are n't any
14,-1.0,The other consideration if its a built in oven or a free standing one ?
15,-1.4,"Go buy a weight scale , see how much you lost ."
16,0.0,"After about a year , they started dating ."
17,0.4,It 's in the same classification as Gourami .
18,-1.8,Because I do n't go lookin at other guys ... .
19,-2.2,which makes u fell comfortable and relax ur mind .
20,-3.0,Missile Launcher : Hooo - wah !
21,-2.6,so many times have u asked this question ?
22,-0.4,I wouldnt worry about it unless it stays there for more than 2 days .
23,-2.2,Answering questions on Yahoo Answers while listening to one of my CD 's .
24,1.4,I usually add the favicon in two formats to accommodate all the different browsers .
25,-3.0,i mean wtf they re GUESTS .
26,-1.8,got a good tan .
27,-1.0,The jesus of history is nothing like the biblical Jesus .
28,-2.8,put her on a leash !
29,0.4,"Yes , they can ."
30,0.8,Everything you wanted to know about atheism and more .
31,-2.6,then serve ... ... ... enjoy ! ! ! ! ! ! ! !
32,-1.0,Have a Happy Wedding !
33,-1.6,"He already knows you like him , Its his time to make the move ."
34,-1.0,Let 's say they decide to occupy a local park or play ground ?
35,-1.0,You ' ll never have trouble raising children after being with this lot .
36,-0.2,Special dangers are involved if the women are menstruating or sitting at a crossroads .
37,-1.4,Jesus is not Santa Claus or the good fairy .
38,2.8,I would trust the social workers to make the appropriate case by case determination .
39,-2.0,try www.everythingbutwater.com They have a good assortment of sizes and brands Hope that helps !
40,-1.5,dooney and Burke .
41,0.0,You have a leak somewhere .
42,-1.2,"This is what I feel , then upto you ."
43,1.2,"When you do that , you will stress out the other fish ."
44,-3.0,be whateva u wan na be .
45,-1.6,DO I NEED TO ASK MY MOM AND DAD ABOUT THIS ? ?
46,-2.2,You get used to it I guess .
47,2.2,The laws form the basis for classical mechanics .
48,-0.25,You will have to leave your Nationality if you become Japanese .
49,0.0,But what about WWII ... the innocent Asians that were jailed because of race .
50,1.2,DC stands for Distsrict of Columbia ...
51,-1.25,"do they tell you when they do this , I am not for sure"
52,-1.0,Wish you very good hairgrow !
53,1.0,Few words will do .
54,-2.4,Do n't bother with Tidy Cats it 's not worth the money .
55,0.0,Check out http://www.ind.homeoffice.gov.uk/applying/generalcaseworking/students http://workingintheuk.gov.uk/working_in_the_uk/en/homepage.html ?
56,-1.2,To do anything in Psychology you pretty much have to have a PhD .
57,-0.4,Getting back to the event horizon .
58,-1.2,Gold would look nice .
59,-0.4,"Many , many honest people have left Yahoo Answers in disgust over this problem ."
60,-1.6,"Also , as a kid I had lesbian rabbits !"
61,-0.2,At least you ' ll feel a little relief - you can always retest .
62,-2.2,"both , put 'em together"
63,-1.4,"No , seriously the answer is E"
64,1.0,Create a dependancy file for each one then carry on .
65,1.8,The unsurpassed effect of NeyDent is achieved by a combination of 11 ingredient groups .
66,2.4,Only the Congress is empowered by the Constitution to Declare War .
67,-1.2,Confront him and straighten it out with him .
68,-2.8,they r awesome .
69,-2.8,Hold on a minute there dude ! !
70,-0.4,University of California Irvine is a good one .
71,0.0,"Warm , friendly , inviting , accommodating people ."
72,2.2,Ringworm is an airborne fungus that is highly communicable between animals and humans .
73,-0.6,Why not go with a pretty pink sherbet punch ?
74,-0.4,Cosmetic Surgery only will work
75,-0.6,It 's about 15.00 for a squirt behind the neck .
76,-0.25,most of it is psychological .
77,-1.2,You could put in candy corn to be more festive .
78,-0.333333333333,"Kikyo and Inuyasha , Into the Miasma 33 ."
79,-2.0,Good Luck and do n't give up !
80,0.4,So the oil and defense companies can make money from war .
81,-1.6,OK ... Nice try ... but sadly failed to tickle my funny bone .
82,0.2,Or maybe you are mistaking hunger for thirst .
83,-1.4,It 's like asking for money instead of a present .
84,0.8,We all have our strengths and weaknesses .
85,-1.6,I hate it because I love it
86,-1.6,"Sorry pal , abortion is killing a human being !"
87,-2.0,And I thought my ex - bf was a cheap person !
88,-1.6,get him to the ER whatever it takes .
89,-3.0,"`` Stop , do n't go no further ."
90,-0.2,but i do not know how many are being made
91,-0.5,See if this helps http://www.futureaccountant.com/
92,-0.8,`` He was killing college girls that were the future of America .
93,-2.33333333333,Koga 's Bride - to-Be 85 .
94,0.4,it happens to both plant and animal cells .
95,-0.2,You will be able to see who the gifted one are .
96,0.0,Pratice will make perfect .
97,-2.0,you could have developed an alcohol allergy !
98,-1.6,He figured since we had problems before that this did n't matter .
99,-1.4,they usually miss a lot .
100,-1.2,depends ... but i put a star on a question that i like ...
101,-1.0,Because they do n't move !
102,0.4,Gothic/horror fans love it .
103,-2.0,"If they ' re right , have a good spirit and love you , yes ."
104,0.0,People who take drugs want them legalized .
105,-0.2,( These are based on the Japanese lunisolar calendar .
106,-2.5,no ... i wish =O (
107,1.0,This is the central truth of Christianity .
108,-0.4,this was the relgious and spirituality section .
109,0.0,Does subject go in music ?
110,0.0,Not to mention have a more difficult time stopping .
111,-2.2,that ignorant who ever said that
112,0.2,I give you this link about different sleep methods .
113,-1.0,They were animals I tell you !
114,-2.0,i stopped a few meters away from it .
