SID,label,sentence
1,1.0,Soon Hubbard married and began his career as a struggling science fiction writer .
2,-1.0,looks like you are going have to give it a little time .
3,0.8,For this you will need one room which you will not leave .
4,-1.4,"I think you ' re atheist , because you say there might be a god ."
5,-0.2,"Yes , absolutely you should tell him ."
6,0.0,The story of William wllace : http://en.wikipedia.org/wiki/William_Wallace
7,-1.0,2002 May ; 27 ( 4 ) :489 -503 . )
8,-2.4,actually men is more pro - active or most of the time the initiator .
9,-1.6,Well that 's one way you could look at it i guess .
10,-2.6,He would PTALOP .
11,-2.4,chocoloate chip and m 'm in !
12,2.2,"Yes , it is made up of three atomic particles ."
13,-1.5,"Just ignore him , forget his words and keep going !"
14,-2.2,that is because u are not excited by ur wife .
15,-2.25,com ... they have a natural cleanig solution called Basic - H .
16,-2.4,Paris Hilton is a waste of space .
17,-1.6,"step 1 un hook all lines in system , throw away your drier ."
18,-1.4,Especially if you are not that close to anyone .
19,-1.4,He makes to boot normally without errors .
20,-1.0,"you can say , , como quiera , or de cualquier manera ."
21,0.75,"Penny Pincher ( 10 ) Earn $ 1,000,000 in the city of Stilwater ."
22,1.6,The Bible has been translated thousands of times and there are discrepencies .
23,-0.4,Yamcha does not get the opportunity to fight until Cell creates his Cell Juniors .
24,-0.2,Does she share with another cat ?
25,-1.6,It only benefits the welfare mamas and the deadbeat dads .
26,-0.2,You can not just simply start talking .
27,2.4,Frequent trips to Europe made him conversant in German and French .
28,-1.0,I ' ve had one tell me to quit baby sitting everyone .
29,-3.0,Ta - daaa problem solved .
30,0.6,Those are of no import when I am with you .
31,-1.2,"Stage one , preparation ."
32,-1.0,"The Mayans , believe it or not , speak ( still ) `` mayan ''"
33,-0.25,MacGyver promptly threw up his own heart .
34,-1.6,Let her do the cooking .
35,0.0,Connor : That was nicely put .
36,1.6,"Thus , all of them are irrelevant and useless in our debate ."
37,-3.0,your mail will do either girl here ! !
38,1.0,"Sometimes , preteens and teens feel like commiting suicide ."
39,0.0,Eau de Toilette Spray from Fredericks of Hollywood
40,2.25,Find encryption software .
41,1.2,You are right .
42,-2.2,Gosh - you ' re lucky ...
43,-3.0,my kids lol ... .
44,-0.8,So it was with Hubbard .
45,-1.75,Raoul Duke : Who are these people ?
46,-2.6,there you go here are your lyrics i love the movie
47,-2.8,I take it your baby ca n't do - do .
48,-1.8,Depends how long it was in the first place ! ! ! ! !
49,-2.6,that kind of thing
50,-1.0,"Well , you got me on that one ..."
51,-0.2,"My dear friend , ... Israel did it with violence ."
52,-1.4,"Excercise burns cals , the more you burn , the more fat you burn !"
53,-0.8,Why not give them another shot at the Buckeyes ?
54,1.6,The interview phase is time consuming and costly .
55,-0.2,they have saturated the market too much .
56,-1.6,My sisters pregnancy 's were different and she had one of each .
57,1.6,I hope you feel better soon .
58,0.0,A heating pad may also help .
59,0.0,Select the DVD Region tab .
60,1.0,Not all African people are Black .
61,-1.0,You can hear everything from my son 's laundry shot .
62,0.6,The Dryer will also fade it .
63,-1.4,haha not a pleasnt sight .
64,-2.0,"7:16 am , NY , USA"
65,-1.0,Cheney is the one with the brain .
66,-1.2,I have to work - But have one for me !
67,-1.2,"driving with an overly rich engine can cause damage , slowly but definitley ."
68,-0.4,"monitor her and if it continues , take her to the vet ."
69,-1.4,at the disco .
70,0.8,"But it 's interesting information , nonetheless ."
71,-1.0,But I did n't have the nerve .
72,-1.0,"Well , for a second wedding , you have the wrong idea ."
73,0.2,Try the easy www.calculator.com
74,-0.4,and leave the good people who deserve a better way of life .
75,-0.8,Here are best hair styles with photos .
76,-0.8,That 's his job .
77,-1.4,Try to preach somewhere else please .
78,-1.8,chai tea ... yums !
79,-1.66666666667,Dogs and cats .
80,0.6,I think what can be controlled is attitude .
81,-3.0,The King of pop ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?
82,-2.0,You are missing the big one ... GI JOE .
83,2.0,Honda has the breaking system that applies the breaks before impact .
84,-1.0,Looks like a tuft of hair to me
85,-2.6,i had 2 razors and they got wet .
86,-1.6,"Lots of patience , love and who knows even treats can make it happen ."
87,-1.4,Why should i do my makeup ?
88,-0.2,I could n't control that .
89,-0.4,They drew a diagram of her hymen right there in the bible .
90,-1.0,"There 's nothing wrong with a profit , but THIS is ridiculous !"
